file,n,mean,std,min,max,p5,p95,range,rms
Mesures27062024_186.txt,1000,20199.763039999998,3967.328608696305,13404.93,26972.64,13972.0365,26388.2605,13567.71,20585.67762211218
Mesures27062024_187.txt,1000,20752.174030000002,4064.7859278915857,13815.47,27773.58,14407.6945,27175.364,13958.110000000002,21146.517718314568
Mesures27062024_188.txt,1000,20252.54589,3967.1818171288305,13496.75,27087.74,14057.94,26510.226,13590.990000000002,20637.445253633345
Mesures27062024_189.txt,1000,20378.43803,4006.89534238298,13580.01,27296.92,14146.0855,26699.3085,13716.909999999998,20768.628910627696
Mesures27062024_19.txt,1000,4772.293769999999,929.7352432892318,3178.34,6342.51,3307.979,6209.628,3164.17,4862.015574820272
Mesures27062024_190.txt,1000,21099.134520000003,4148.746734947551,14046.92,28206.29,14637.2995,27605.6875,14159.37,21503.152721491646
Mesures27062024_191.txt,1000,20455.971650000003,4013.615526403492,13646.65,27333.22,14200.961,26750.2695,13686.570000000002,20846.00407126965
Mesures27062024_192.txt,1000,21108.586059999998,4183.009958368265,14058.7,28264.73,14637.893,27668.416,14206.029999999999,21519.06080116496
Mesures27062024_193.txt,1000,21302.47519,4196.276304874211,14188.54,28453.19,14772.441,27855.7335,14264.649999999998,21711.844326252303
Mesures27062024_194.txt,1000,20521.134509999996,4039.6124817709383,13672.79,27406.4,14247.257000000001,26835.286999999997,13733.61,20914.95710204524
Mesures27062024_195.txt,1000,20726.71315,4090.9607302562777,13777.05,27692.98,14363.0515,27126.415999999997,13915.93,21126.585093168324
Mesures27062024_196.txt,1000,20656.18673,4068.9540193562775,13736.1,27662.71,14303.747000000001,27080.604,13926.609999999999,21053.133663097844
Mesures27062024_197.txt,1000,20823.53628,4085.0039268632977,13908.68,27844.55,14480.2475,27256.348,13935.869999999999,21220.43638304747
Mesures27062024_198.txt,1000,20576.93454,4094.833615337574,13658.25,27651.47,14233.0805,27058.463499999998,13993.220000000001,20980.416997780183
Mesures27062024_199.txt,1000,21225.40351,4204.092146021847,14117.87,28458.91,14690.972,27851.515499999998,14341.039999999999,21637.748148422535
Mesures27062024_2.txt,1000,4608.32132,893.3937697792937,3075.41,6120.79,3201.419,5992.092500000001,3045.38,4694.121623503912
Mesures27062024_20.txt,1000,4778.74874,929.8005942670785,3184.29,6348.67,3314.6465000000003,6215.8099999999995,3164.38,4868.364064565324
Mesures27062024_200.txt,1000,21216.132439999998,4162.943995896323,14135.49,28323.71,14723.587,27731.219,14188.22,21620.693291950414
Mesures27062024_201.txt,1000,20763.66669,4114.79986104845,13806.62,27829.77,14389.531,27230.947999999997,14023.15,21167.461640685684
Mesures27062024_202.txt,1000,21058.3247,4154.827632803714,14024.94,28139.83,14595.358,27548.767499999998,14114.890000000001,21464.287358981648
Mesures27062024_203.txt,1000,21044.188439999998,4156.1489928406045,14016.58,28129.24,14606.7045,27534.373499999998,14112.660000000002,21450.674617571345
Mesures27062024_204.txt,1000,21767.558350000003,4317.301711650342,14464.06,29128.58,15058.093,28526.241,14664.520000000002,22191.568006566675
Mesures27062024_205.txt,1000,22366.8791,4415.118674580015,14901.39,29891.03,15504.2305,29303.2265,14989.64,22798.47700142801
Mesures27062024_206.txt,1000,21707.675660000004,4281.69810300009,14421.06,29017.71,15016.7075,28431.722999999998,14596.65,22125.915149547847
Mesures27062024_207.txt,1000,21624.36882,4306.711835388851,14345.28,29007.41,14947.2515,28407.1525,14662.13,22049.06106156148
Mesures27062024_208.txt,1000,21544.597550000002,4240.610862613534,14365.37,28786.27,14950.997,28183.91,14420.9,21957.970399824797
Mesures27062024_209.txt,1000,21313.050369999997,4230.661428055685,14114.83,28537.55,14709.569,27931.941,14422.72,21728.88888537551
