offset_s,score,n_pairs,best_feature_HA,best_corr_HA,best_corr_Abs
32393,0.9640990664762839,341,F_mean,0.9653096589388626,
32394,0.9635167642266942,343,F_mean,0.964746955239805,
32395,0.9620629995704519,341,F_area_total,0.9633285184281389,
32396,0.9612894269758914,343,F_area_total,0.962570661573788,
32397,0.9595590377214736,341,F_mean,0.9608566513620396,
32398,0.9588042439943669,343,F_area_total,0.9601208711111608,
32399,0.9571537086988315,341,F_mean,0.9584646166488826,
32400,0.9563189407892204,343,F_area_total,0.9576415816074928,
32401,0.954351937048839,341,F_area_total,0.9557037193952019,
32402,0.9534365005205263,343,F_area_total,0.9548234619472077,
32403,0.9515527526511387,341,F_mean,0.9529511874636064,
32404,0.9507894740900236,343,F_area_total,0.9522298308906993,
32405,0.9489274265240525,341,F_area_total,0.9503596939930155,
32406,0.9480904041238473,343,F_mean,0.9495584576028144,
32407,0.9460254605950656,341,F_mean,0.9475059817792559,
32408,0.9451617389958541,343,F_area_total,0.9466872066388918,
32409,0.9431732901626895,341,F_area_total,0.9446899631645911,
32410,0.9420012171602408,343,F_area_total,0.9435372500093716,
32411,0.9397578907592048,341,F_mean,0.9412817751012448,
32412,0.9382714766860918,343,F_area_total,0.9398409186682676,
32413,0.9359516270853758,341,F_area_total,0.9375562603909778,
32414,0.9349720303407096,343,F_area_total,0.9366147336416581,
32415,0.932525171944875,341,F_area_total,0.9341598671985903,
32416,0.9310318702063527,343,F_area_total,0.9327020021793498,
32417,0.9284835818894159,341,F_area_total,0.9301704519062318,
32418,0.926777458240581,343,F_mean,0.928495290277655,
32419,0.9241495020365362,341,F_area_total,0.9258718658842424,
32420,0.9222000794530345,343,F_area_total,0.9239699313012788,
32421,0.9196799876223845,341,F_area_total,0.9214463466938307,
32422,0.9172287606452377,343,F_area_total,0.9190529659203103,
32423,0.9145974199614857,341,F_mean,0.9164417173525076,
32424,0.9123213950305877,343,F_mean,0.9142005248110084,
32425,0.9094322538760744,341,F_mean,0.9113010809035424,
32426,0.9071104550709561,343,F_area_total,0.9090299106892845,
32427,0.9044231699054639,341,F_mean,0.906342892372175,
32428,0.901531480991121,343,F_area_total,0.9035253196171205,
32429,0.898651602557613,341,F_mean,0.9006248502048834,
32430,0.8954683880960411,343,F_area_total,0.8974947251940397,
32431,0.8922972776714867,341,F_area_total,0.8943259447058064,
32432,0.8892213093328873,343,F_area_total,0.8912927777829204,
32433,0.8862920041605045,341,F_area_total,0.8883468907065832,
32434,0.8825336725403993,343,F_area_total,0.884657066636646,
32435,0.8796306739221931,341,F_area_total,0.8817493271233408,
32436,0.8762299474651283,343,F_area_total,0.8783872032762561,
32437,0.873250605091014,341,F_area_total,0.8753934855674238,
32438,0.869265580959327,343,F_mean,0.8714932764764015,
32439,0.865950381625275,341,F_mean,0.8681592078383524,
32440,0.8621733833464952,343,F_area_total,0.8644241445533487,
32441,0.8589516140289637,341,F_area_total,0.8611849670007695,
32442,0.8557011122227448,343,F_mean,0.8579991190686489,
32443,0.8526673211120142,341,F_area_total,0.8549364490973851,
32444,0.8487818009030155,343,F_area_total,0.8511140584380295,
32445,0.8456998637100268,341,F_mean,0.8480130632870732,
