t,I,I0,A
501,11446.55,11480.040121210492,0.0029215112106871456
502,11444.22,11468.407647878419,0.0021112948924909124
503,11439.72,11456.775174546347,0.0014897631773489583
504,11433.33,11445.142701214272,0.001032647801123761
505,11425.87,11433.5102278822,0.00066845453293354
506,11417.33,11421.877754550125,0.00039824101248207285
507,11408.04,11410.245281218053,0.00019329070504105667
508,11398.19,11398.61280788598,3.709361260802707e-05
509,11387.96,11387.96,-0.0
510,11377.28,11377.28,-0.0
511,11366.48,11366.48,-0.0
512,11355.38,11355.38,-0.0
513,11344.5,11344.5,-0.0
514,11332.97,11332.97,-0.0
515,11321.07,11321.07,-0.0
516,11309.13,11309.13,-0.0
517,11297.44,11297.44,-0.0
518,11285.92,11285.92,-0.0
519,11274.34,11274.34,-0.0
520,11262.57,11262.57,-0.0
521,11250.78,11250.78,-0.0
522,11239.22,11239.22,-0.0
523,11227.78,11227.78,-0.0
524,11215.98,11215.98,-0.0
525,11204.61,11204.61,-0.0
526,11193.06,11193.06,-0.0
527,11181.28,11181.28,-0.0
528,11169.62,11169.62,-0.0
529,11157.81,11157.81,-0.0
530,11146.16,11146.16,-0.0
531,11134.09,11134.09,-0.0
532,11122.55,11122.55,-0.0
533,11110.82,11110.82,-0.0
534,11099.24,11099.24,-0.0
535,11087.3,11087.3,-0.0
536,11075.58,11075.58,-0.0
537,11063.87,11063.87,-0.0
538,11052.26,11052.26,-0.0
539,11040.36,11040.36,-0.0
540,11028.77,11028.77,-0.0
541,11016.74,11016.74,-0.0
542,11005.29,11005.29,-0.0
543,10993.39,10993.39,-0.0
544,10981.82,10981.82,-0.0
545,10969.94,10969.94,-0.0
546,10958.15,10958.15,-0.0
547,10946.69,10946.69,-0.0
548,10935.03,10935.03,-0.0
549,10923.28,10923.28,-0.0
550,10911.58,10911.58,-0.0
551,10899.73,10899.73,-0.0
552,10888.25,10888.25,-0.0
553,10876.32,10876.32,-0.0
554,10864.57,10864.57,-0.0
555,10852.77,10852.77,-0.0
556,10841.12,10841.12,-0.0
557,10829.54,10829.54,-0.0
558,10817.75,10817.75,-0.0
559,10806.0,10806.0,-0.0
560,10794.38,10794.38,-0.0
561,10782.67,10782.67,-0.0
562,10771.03,10771.03,-0.0
563,10759.5,10759.5,-0.0
564,10748.47,10748.47,-0.0
565,10736.81,10736.81,-0.0
566,10724.56,10724.56,-0.0
567,10713.12,10713.12,-0.0
568,10701.55,10701.55,-0.0
569,10689.46,10689.46,-0.0
570,10677.88,10677.88,-0.0
571,10666.0,10666.0,-0.0
572,10654.36,10654.36,-0.0
573,10642.81,10642.81,-0.0
574,10630.9,10630.9,-0.0
575,10619.29,10619.29,-0.0
576,10607.49,10607.604621305014,1.0805636935502295e-05
577,10596.39,10596.39,-0.0
578,10584.78,10584.78,-0.0
579,10573.17,10573.17,-0.0
580,10561.65,10561.65,-0.0
581,10550.08,10550.08,-0.0
582,10538.4,10538.4,-0.0
583,10527.05,10527.05,-0.0
584,10515.31,10515.31,-0.0
585,10503.81,10503.81,-0.0
586,10492.23,10492.23,-0.0
587,10480.8,10480.8,-0.0
588,10469.28,10469.28,-0.0
589,10457.91,10457.91,-0.0
590,10447.08,10447.08,-0.0
591,10435.7,10435.7,-0.0
592,10424.38,10424.38,-0.0
593,10412.75,10412.75,-0.0
594,10401.55,10401.55,-0.0
595,10389.91,10389.91,-0.0
596,10378.36,10378.36,-0.0
597,10367.22,10367.22,-0.0
598,10355.85,10355.85,-0.0
599,10344.52,10344.52,-0.0
600,10333.07,10333.07,-0.0
601,10321.51,10321.51,-0.0
602,10310.09,10310.09,-0.0
603,10299.01,10299.01,-0.0
604,10287.62,10287.62,-0.0
605,10276.26,10276.26,-0.0
606,10264.57,10264.57,-0.0
607,10253.2,10253.2,-0.0
608,10241.82,10241.82,-0.0
609,10230.56,10230.56,-0.0
610,10219.05,10219.05,-0.0
611,10207.64,10207.64,-0.0
612,10196.32,10196.32,-0.0
613,10184.92,10184.92,-0.0
614,10173.66,10173.66,-0.0
615,10162.1,10162.1,-0.0
616,10151.35,10151.35,-0.0
617,10140.0,10140.0,-0.0
618,10128.36,10128.36,-0.0
619,10116.71,10116.71,-0.0
620,10105.17,10105.17,-0.0
621,10093.29,10093.29,-0.0
622,10081.85,10081.85,-0.0
623,10070.26,10070.26,-0.0
624,10058.56,10058.56,-0.0
625,10047.05,10047.05,-0.0
626,10035.55,10035.55,-0.0
627,10023.99,10023.99,-0.0
628,10012.08,10012.08,-0.0
629,10000.77,10000.77,-0.0
630,9988.79,9988.79,-0.0
631,9976.95,9976.95,-0.0
632,9965.09,9965.09,-0.0
633,9953.17,9953.17,-0.0
634,9941.39,9941.39,-0.0
635,9929.21,9929.21,-0.0
636,9917.4,9917.4,-0.0
637,9905.23,9905.23,-0.0
638,9893.51,9893.51,-0.0
639,9881.41,9881.41,-0.0
640,9869.71,9869.71,-0.0
641,9857.77,9857.77,-0.0
642,9846.11,9846.11,-0.0
643,9834.26,9834.26,-0.0
644,9822.15,9822.15,-0.0
645,9809.96,9809.96,-0.0
646,9798.04,9798.04,-0.0
647,9786.03,9786.03,-0.0
648,9774.29,9774.29,-0.0
649,9762.05,9762.05,-0.0
650,9750.22,9750.22,-0.0
651,9738.34,9738.34,-0.0
652,9726.7,9726.7,-0.0
653,9714.7,9714.7,-0.0
654,9703.0,9703.0,-0.0
655,9691.31,9691.31,-0.0
656,9679.97,9679.97,-0.0
657,9668.22,9668.22,-0.0
658,9656.4,9656.4,-0.0
659,9644.67,9644.67,-0.0
660,9633.05,9633.05,-0.0
661,9621.58,9621.58,-0.0
662,9609.79,9609.79,-0.0
663,9598.32,9598.32,-0.0
664,9586.65,9586.65,-0.0
665,9574.86,9574.86,-0.0
666,9563.59,9563.59,-0.0
667,9552.06,9552.06,-0.0
668,9541.12,9541.12,-0.0
669,9529.53,9529.53,-0.0
670,9517.88,9517.88,-0.0
671,9506.27,9506.27,-0.0
672,9494.85,9494.85,-0.0
673,9483.23,9483.23,-0.0
674,9471.87,9471.87,-0.0
675,9460.4,9460.4,-0.0
676,9449.15,9449.15,-0.0
677,9437.83,9437.83,-0.0
678,9426.48,9426.48,-0.0
679,9414.98,9414.98,-0.0
680,9403.74,9403.74,-0.0
681,9392.63,9392.63,-0.0
682,9381.28,9381.28,-0.0
683,9369.91,9369.91,-0.0
684,9358.45,9358.45,-0.0
685,9346.85,9346.85,-0.0
686,9335.57,9335.57,-0.0
687,9324.18,9324.18,-0.0
688,9312.7,9312.7,-0.0
689,9301.04,9301.04,-0.0
690,9289.29,9289.29,-0.0
691,9277.7,9277.7,-0.0
692,9265.94,9265.94,-0.0
693,9254.09,9254.09,-0.0
694,9242.78,9242.78,-0.0
695,9230.85,9230.85,-0.0
696,9218.96,9218.96,-0.0
697,9206.56,9206.56,-0.0
698,9194.49,9194.49,-0.0
699,9182.32,9182.32,-0.0
700,9170.0,9170.0,-0.0
701,9157.85,9157.85,-0.0
